content,final_sentiment,baseline_aspect_category,tweet_type,clean_tweet,quadruplet,triplet_label,len_clean_tweet
"Udah nungguin paket seminggu blm dikirim, malah dibatalin shopee",negative,produk;,SUBJECTIVE,"Udah nungguin paket seminggu blm dikirim, malah dibatalin shopee","(paket, seminggu blm dikirim, negative, delivery)","(paket, seminggu blm dikirim, negative)",9
@bliblidotcom ah masih salfok aja smaa akun blibli kirain nama gue bilbil😭🫂  bakwan tipis soalnya lebih krispii,neutral,produk;,SUBJECTIVE, ah masih salfok aja smaa akun blibli kirain nama gue bilbil bakwan tipis soalnya lebih krispii,"(bakwan tipis, soalnya lebih krispii, posiitive, produk)","(bakwan tipis, soalnya lebih krispii, posiitive)",16
"@sbtcon enggaaaa, kadang ada kala nya shopee bermasalah dan saldo ilangg. mending buka rekening aja",negative,produk;,SUBJECTIVE," enggaaaa, kadang ada kala nya shopee bermasalah dan saldo ilangg. mending buka rekening aja","(shopee, saldo ilang, negative, website&apps)","(shopee, saldo ilang, negative)",14
@deAdeeeeeeeeee @sosmedkeras Gua malah gadiambil2 sampe akhirnya direfund otomatis sama shopee nya,negative,produk;,SUBJECTIVE, Gua malah gadiambil2 sampe akhirnya direfund otomatis sama shopee nya,"(_, gadiambil2 sampe akhirnya direfund, negative, produk)","(_, gadiambil2 sampe akhirnya direfund, negative)",10
"@kegblgnunfaedh Ini bukan nangis karena shopee parylater, tapi karena ketololan dan kerakusan diri",negative,produk;,SUBJECTIVE," Ini bukan nangis karena shopee parylater, tapi karena ketololan dan kerakusan diri","(shopee paylater, ketotolan dan kerakusan diri, negative, payment)","(shopee paylater, ketotolan dan kerakusan diri, negative)",12
@bliblidotcom bakwan gemuk tapi ga kering,positive,produk;,SUBJECTIVE, bakwan gemuk tapi ga kering,"(bakwan, tapi ga kering, positive, produk)","(bakwan, tapi ga kering, positive)",5
"Heran gue orang menggantungkan banget kehidupan sama pinjol shopee. Kalau ga ada hal yang penting banget yaudah gausah dipake dan kalau bisa gausah make!. Udah tau riba , udah tau bunganya gede masi aja dipake goblok cape gw",negative,price; produk;,SUBJECTIVE,"Heran gue orang menggantungkan banget kehidupan sama pinjol shopee. Kalau ga ada hal yang penting banget yaudah gausah dipake dan kalau bisa gausah make!. Udah tau riba , udah tau bunganya gede masi aja dipake goblok cape gw","(shopee, Heran gue orang menggantungkan banget kehidupan sama pinjol, negative, produk)","(shopee, heran gue orang menggantungkan banget kehidupan sama pinjol, negative)",38
"@xyzfadhli777 @alestudyy klo udh dibayar lewat shopee pay/dana nanti bisa klik download, bentuknya file dalamnya ada kode QR nya abis itu discan langsung muncul latsol2nya",negative,produk;,SUBJECTIVE," klo udh dibayar lewat shopee pay/dana nanti bisa klik download, bentuknya file dalamnya ada kode QR nya abis itu discan langsung muncul latsol2nya","(shopee pay, nanti bisa klik download, positive, payment)","(shopee pay, nanti bisa klik download, positive)",23
tobat lu seller shopee dajjal! uda mau lebaran malah nipu orang,negative,price; produk;,SUBJECTIVE,tobat lu seller shopee dajjal! uda mau lebaran malah nipu orang,"(seller shopee, uda mau lebaran malah nipu orang, negative, produk)","(seller shopee, uda mau lebaran malah nipu orang, negative)",11
Orang2 ko beranih sih beli uang di shopee? Emang trusted kah?,negative,price; produk;,SUBJECTIVE,Orang2 ko beranih sih beli uang di shopee? Emang trusted kah?,"(uang di shopee, emang trusted, positive, website&apps)","(uang di shopee, emang trusted, positive)",11
@stepdang Pake casing shopee bikin tambah seksi padahal,negative,price; produk;,SUBJECTIVE, Pake casing shopee bikin tambah seksi padahal,"(casing shopee, bikin tambah seksi, positive, produk)","(casing shopee, bikin tambah seksi, positive)",7
@discountfess shopee express 2 hari nyampe,negative,produk;,SUBJECTIVE, shopee express hari nyampe,"(shopee express, hari nyampe, positive, delivery)","(shopee express, hari nyampe, positive)",4
"@hello_cibi Shock mau pake nelpon biasa kok gak bisa, ternyata belum bayar tagihan. Kan inet mah lancar aja karena wifi 🤣  Oh jadi ke Shopee dulu okeoke",negative,produk;,SUBJECTIVE," Shock mau pake nelpon biasa kok gak bisa, ternyata belum bayar tagihan. Kan inet mah lancar aja karena wifi Oh jadi ke Shopee dulu okeoke","(shopee, ternyata belum bayar tagihan, negative, produk)","(shopee, ternyata belum bayar tagihan, negative)",25
"@bliblidotcom aduuhh pilihan yg sulit, kalo dateng 2 hari bisa kan wkwkwk",negative,produk;,SUBJECTIVE," aduuhh pilihan yg sulit, kalo dateng hari bisa kan wkwkwk","(_, pilihan yg sulit, negative, produk)","(_, pilihan yg sulit, negative)",10
shopee tolonglah kalau udah komit ke customer mau dikirim kapan minimal tepatin:),negative,produk;,SUBJECTIVE,shopee tolonglah kalau udah komit ke customer mau dikirim kapan minimal tepatin,"(shopee, dikirim kapan minimal tepatin, negative, delivery)","(shopee, dikirim kapan minimal tepatin, negative)",12
"@bielforger @jntexpressid Sama kak,punya ku nominalnya 8jt loh. Apa ga deg2an😭😭😭chat via wa direspon awalnya doang abis itu ga direspon,complain di twt juga ga ditanggepin,complain shopee disuruh nunggu truss gila bgt",negative,produk;,SUBJECTIVE," Sama kak,punya ku nominalnya jt loh. Apa ga deg2anchat via wa direspon awalnya doang abis itu ga direspon,complain di twt juga ga ditanggepin,complain shopee disuruh nunggu truss gila bgt","(complain, ga ditanggepin, negative, costumerservice)","(complain, ga ditanggepin, negative)",29
"@jntexpressid @jntexpressid Min, tolong banget dong masa bisa bisanya 2 paket saya dari Shopee dilaporkan diterima oleh Ybs padahal saya dan orang rumah saya juga ga menerima apa apa. Kurir asal kirim bukti foto layar hitam, foto kabur. Sudah bikin keluhan tapi tidak digubris, malah terulang.",negative,delivery; produk;,SUBJECTIVE," Min, tolong banget dong masa bisa bisanya paket saya dari Shopee dilaporkan diterima oleh Ybs padahal saya dan orang rumah saya juga ga menerima apa apa. Kurir asal kirim bukti foto layar hitam, foto kabur. Sudah bikin keluhan tapi tidak digubris, malah terulang.","(Shopee, Sudah bikin keluhan tapi tidak digubris, negative, customerservice)","(shopee, sudah bikin keluhan tapi tidak digubris, negative)",43
"@bliblidotcom yang gendut dalemnya sering ga mateng dan masih basah gt, rasanya tepung bgt",positive,produk;,SUBJECTIVE," yang gendut dalemnya sering ga mateng dan masih basah gt, rasanya tepung bgt","(_, rasanya tepung bgt, negative, produk)","(_, rasanya tepung bgt, negative)",13
Njir kulot harga 90rb an di shopee bahannya tipis banget mana nerawang lagi. Sedangkan gw beli yang harga 60rb an aja bisa dapet bahan yg tebel,neutral,payment; produk;,SUBJECTIVE,Njir kulot harga rb an di shopee bahannya tipis banget mana nerawang lagi. Sedangkan gw beli yang harga rb an aja bisa dapet bahan yg tebel,"(kulot, bahannya tipis banget, negative, produk)","(kulot, bahannya tipis banget, negative)",26
"@bliblidotcom klo jam segini enakan nonton hayate lebih adem, malemnya baru ryo wkwk",positive,produk;,SUBJECTIVE," klo jam segini enakan nonton hayate lebih adem, malemnya baru ryo wkwk","(hayate, enakan nonton, positive, produk)","(hayate, enakan nonton, positive)",12
@racunlitbase Kok pas dibuka shopee harganya ngk ada diskonnya🫥😑,negative,produk;,SUBJECTIVE, Kok pas dibuka shopee harganya ngk ada diskonnya,"(diskonnya, ngk ada, negative, price)","(diskonnya, ngk ada, negative)",8
@Elsmanoora Ooh ternyata memew squad yaa kak...sebel banget aq baca igsnya...sampe ga jadi beli verkoop yg terbaru...ini mau CO shopee ga jadi..😬,negative,produk;,SUBJECTIVE, Ooh ternyata memew squad yaa kak...sebel banget aq baca igsnya...sampe ga jadi beli verkoop yg terbaru...ini mau CO shopee ga jadi..,"(_, sebel banget aq baca, negative, website&apps)","(_, sebel banget aq baca, negative)",21
@pedoqpop kesiannya budak tu. mesti kena push kaw2 dengan family.   *terima kasih doq tak letak link shopee.,negative,payment; produk;,SUBJECTIVE, kesiannya budak tu. mesti kena push kaw2 dengan family. *terima kasih doq tak letak link shopee.,"(_, kesiannya budak tu, negative, costumerservice)","(_, kesiannya budak tu, negative)",16
"@saranirmala1 @txtdarionlshop Iya banget, order via shopee bbrp barang bersamaan, jnt paling lama nyampee... padahal cuma dr jkt ke bogorr bisa 4-5hr😴 ga lagi lagi dehh",negative,produk;,SUBJECTIVE," Iya banget, order via shopee bbrp barang bersamaan, jnt paling lama nyampee... padahal cuma dr jkt ke bogorr bisa -5hr ga lagi lagi dehh","(jnt, ga lagi lagi deh, negative, delivery)","(jnt, ga lagi lagi deh, negative)",24
WKWKWKWKW DULU PERNAH ISENG CO DI SHOPEE RASANYA NUTRISARI ANJ,negative,produk;,SUBJECTIVE,WKWKWKWKW DULU PERNAH ISENG CO DI SHOPEE RASANYA NUTRISARI ANJ,"(_, rasanya nutrisari anj, negative, produk)","(_, rasanya nutrisari anj, negative)",10
"APA AKU GAK PAKE SHOPEE LAGI?  pake. hehehehe. tadinya aku emang gak mau pake lagi, tapi aku tuh gak bisa gak main shopee candy 😭 jadi 2-3 minggu setelah hapus akun, aku bikin akun baru.",negative,payment; produk;,SUBJECTIVE,"APA AKU GAK PAKE SHOPEE LAGI? pake. hehehehe. tadinya aku emang gak mau pake lagi, tapi aku tuh gak bisa gak main shopee candy jadi -3 minggu setelah hapus akun, aku bikin akun baru.","(shopee, gak mau pake lagi, negative, website&apps)","(shopee, gak mau pake lagi, negative)",34
@bliblidotcom kak kenapa ya saya gabisa dapatin kode masuk ya via sms?,negative,delivery; produk;,SUBJECTIVE, kak kenapa ya saya gabisa dapatin kode masuk ya via sms?,"(kode, saya gabisa dapetin, negative, website&apps)","(kode, saya gabisa dapetin, negative)",11
"Jadi gue pesen paket di hari jumat. Salah emang, harusnya dari kamis. Biar nyampe senin. Nah besok mau pegi seharian sekeluarga. Paket gue blm sampe td sore. Pas mau shalat magrib gue cek di shopee, ternyata lg dikirim kerumah. Nah kaget. Gue pikir nyampenya besok. Mana udh panik",negative,produk;,SUBJECTIVE,"Jadi gue pesen paket di hari jumat. Salah emang, harusnya dari kamis. Biar nyampe senin. Nah besok mau pegi seharian sekeluarga. Paket gue blm sampe td sore. Pas mau shalat magrib gue cek di shopee, ternyata lg dikirim kerumah. Nah kaget. Gue pikir nyampenya besok. Mana udh panik","(shopee, Paket gue blm sampe td sore, negative, delivery)","(shopee, paket gue blm sampe td sore, negative)",48
"@allinyouu @tanyakanrl Pilihan pengiriman itu ada lebih dari 7 di tokped ninja aja gw kirim hari ini besok sampe, shopee ini udah kebanyakan maksa orang pake expedisinya ngedep pula di gudang 2 hari padahal masih Jabodetabek,",negative,produk;,SUBJECTIVE," Pilihan pengiriman itu ada lebih dari di tokped ninja aja gw kirim hari ini besok sampe, shopee ini udah kebanyakan maksa orang pake expedisinya ngedep pula di gudang hari padahal masih Jabodetabek,","(ninja, kirim hari ini besok sampe, positive, delivery)","(ninja, kirim hari ini besok sampe, positive)",32
@bliblidotcom bingung antara nastar sama klepon🥺🥺🥺,neutral,produk;,SUBJECTIVE, bingung antara nastar sama klepon,"(nastar, bingung, negative, produk)","(nastar, bingung, negative)",5
"@discountfess Jangan ninja xpress, nge stuck paket gw jga lama bngt hampir seminggu. JNE cepet, gw kerja di bagian online shop biasanya liat paket JNE shopee tuh dikit jdi kemungkinan suka cepett gakan ada acara stuck stuck atau overload",negative,produk;,SUBJECTIVE," Jangan ninja xpress, nge stuck paket gw jga lama bngt hampir seminggu. JNE cepet, gw kerja di bagian online shop biasanya liat paket JNE shopee tuh dikit jdi kemungkinan suka cepett gakan ada acara stuck stuck atau overload","(ninja xpress, nge stuck paket gw, negative, delivery)","(ninja xpress, nge stuck paket gw, negative)",38
gatel tangan klo buka shopee ajg,neutral,produk;,SUBJECTIVE,gatel tangan klo buka shopee ajg,"(shopee, gatel tangan klo buka shopee, negative, website&apps)","(shopee, gatel tangan klo buka shopee, negative)",6
"@pirrpear @sukaCOKLATbngt @worksfess Di tokped atau olx, sering cek aja kak , soal nya juga rejekiii rejekiii an , barang murah cepet laku , jadi kalo aku lagi nyari bisa tiap Hari aku pantengin olx atau tokped",negative,produk;,SUBJECTIVE," Di tokped atau olx, sering cek aja kak , soal nya juga rejekiii rejekiii an , barang murah cepet laku , jadi kalo aku lagi nyari bisa tiap Hari aku pantengin olx atau tokped","(barang murah, cepet laku, positive, produk)","(barang murah, cepet laku, positive)",34
flashsalee shopee gmasuk akal anjrr,negative,produk;,SUBJECTIVE,flashsalee shopee gmasuk akal anjrr,"(flashsale shopee, gamasuk akal anjirr, negative, website&apps)","(flashsale shopee, gamasuk akal anjirr, negative)",5
"@tanyakanrl Masa sih biasa2 aja?cba ngisi2 survey yg di byar beneran via gopay,ovo,shopee pay,dana jga bsa disni nder,mayan buat tambah2 hari raya nder  https://t.co/VfiwA889eu",neutral,produk;,SUBJECTIVE," Masa sih biasa2 aja?cba ngisi2 survey yg di byar beneran via gopay,ovo,shopee pay,dana jga bsa disni nder,mayan buat tambah2 hari raya nder","(survey, survey yg di byar beneran, positive, website&apps)","(survey, survey yg di byar beneran, positive)",22
Rasa macam nak beli something dekat shopee tapi benda tu lambat lagi la nak guna. Tapi rasa nak beli awal takut stok habis 🤔,neutral,produk;,SUBJECTIVE,Rasa macam nak beli something dekat shopee tapi benda tu lambat lagi la nak guna. Tapi rasa nak beli awal takut stok habis,"(shopee, lagi nak guna, negative, produk)","(shopee, lagi nak guna, negative)",23
heran ngga pernah bisa berburu barang dilive shopee 😭,negative,produk;,SUBJECTIVE,heran ngga pernah bisa berburu barang dilive shopee,"(barang, berburu barang, positive, produk)","(barang, berburu barang, positive)",8
"@bliblidotcom tolong dong, policy internal kalian ttg fraud yg merugikan saya, skerang refund nya juga merugikan banget. Sangat double savage ini merugikan nya. Monmaap ya blibli, itu uang klo diputer jadi bisnis bisa untung berapa %. Ini mandeg di sistem kalian gak jelas",negative,produk;,SUBJECTIVE," tolong dong, policy internal kalian ttg fraud yg merugikan saya, skerang refund nya juga merugikan banget. Sangat double savage ini merugikan nya. Monmaap ya blibli, itu uang klo diputer jadi bisnis bisa untung berapa %. Ini mandeg di sistem kalian gak jelas","(fraud, merugikan banget, negative, costumerservice)","(fraud, merugikan banget, negative)",42
"@bliblidotcom adakah yg sama sepertiku, ibunya tukang kue lebaran jd kalo mau makan ngerasa udh kenyang duluan, bosen gt krn ikutan buat jg🤣",neutral,produk;,SUBJECTIVE," adakah yg sama sepertiku, ibunya tukang kue lebaran jd kalo mau makan ngerasa udh kenyang duluan, bosen gt krn ikutan buat jg","(kue, kalo mau makan ngerasa udh kenyang duluan, negative, produk)","(kue, kalo mau makan ngerasa udh kenyang duluan, negative)",22
Ini orang-orang kenapa pada bilang shopee express cepet dah padahal di aku udah stuck 3 hari,negative,produk;,SUBJECTIVE,Ini orang-orang kenapa pada bilang shopee express cepet dah padahal di aku udah stuck hari,"(shopee express, stuck, negative, delivery)","(shopee express, stuck, negative)",15
@maylociko oh ya? ku kira 200 WKKWKWKWKW aku beli shopee 30rb anjg jelek bgt patah &amp; ga bs di tutup atasnya,negative,produk;,SUBJECTIVE, oh ya? ku kira WKKWKWKWKW aku beli shopee rb anjg jelek bgt patah &amp; ga bs di tutup atasnya,"(shopee rb, anjg jelek bgt patah, negative, produk)","(shopee rb, anjg jelek bgt patah, negative)",19
"@bliblidotcom Nama anak yg ada unsur elektronik gimana kalo kasi nama "" MAC "" . Mac merupakan salah satu jenis laptop keluaran Apple.  #Tanyatinyi",neutral,produk;,SUBJECTIVE," Nama anak yg ada unsur elektronik gimana kalo kasi nama "" MAC "" . Mac merupakan salah satu jenis laptop keluaran Apple.","(nama anak, yg ada unsur elektronik, positive, produk)","(nama anak, yg ada unsur elektronik, positive)",22
"@sbtcon sangat masuk akal, karena: 1) bisa aja seller lg bu/in rush, jd pengen uangnya secepet mungkin udh di mereka 2) buat menghindari adm shopee yg gede, terutama yg tokonya adminnya 5% ke atas 3) buyer kdg tuh lama bgt klik pesanannya, pdhl barang udh nyampe dan aman di dia",negative,delivery; price; produk;,SUBJECTIVE," sangat masuk akal, karena: ) bisa aja seller lg bu/in rush, jd pengen uangnya secepet mungkin udh di mereka ) buat menghindari adm shopee yg gede, terutama yg tokonya adminnya % ke atas ) buyer kdg tuh lama bgt klik pesanannya, pdhl barang udh nyampe dan aman di dia","(adm shopee, menghindari, negative, website&apps)","(adm shopee, menghindari, negative)",49
"@RacunBelanja Aku curiga shopee ini ngincer akunku. Dulu pas event COD pdhl blm pernah dpet, eh dibanned katanya melebihi batasan cod. Even big sale ramadan, promonya udah 2hr gbs dipake, trs semalem bahkan promo 5ribu aja gak dapet 🤣🤣🤣",negative,produk;,SUBJECTIVE," Aku curiga shopee ini ngincer akunku. Dulu pas event COD pdhl blm pernah dpet, eh dibanned katanya melebihi batasan cod. Even big sale ramadan, promonya udah hr gbs dipake, trs semalem bahkan promo ribu aja gak dapet","(shopee, di banned katanya melebihi batasan cod, negative, website&apps)","(shopee, di banned katanya melebihi batasan cod, negative)",37
si adekk thr nya minta dibeliin celana jeans warna snow black yg lutut nya sobekk. beli dimanaa cobaaaa 🤣 di shopee kosong semua ihhh,neutral,produk;,SUBJECTIVE,si adekk thr nya minta dibeliin celana jeans warna snow black yg lutut nya sobekk. beli dimanaa cobaaaa di shopee kosong semua ihhh,"(shopee, kosong semua ihhh, negative, produk)","(shopee, kosong semua ihhh, negative)",23
@caratstalk Eh lucuu Di Shopee ada nggak ya?,negative,produk;,SUBJECTIVE, Eh lucuu Di Shopee ada nggak ya?,"(shopee, Eh lucuu Di shopee ada nggak, negative, produk)","(shopee, eh lucuu di shopee ada nggak, negative)",7
@tanyakanrl Kalau serbu @bukalapak beneran dapat hadiah. Karena emang banyak yg dapat termasuk teman gue,neutral,produk;,SUBJECTIVE, Kalau serbu beneran dapat hadiah. Karena emang banyak yg dapat termasuk teman gue,"(hadiah, beneran dapat, positive, produk)","(hadiah, beneran dapat, positive)",13
"@bliblidotcom ONDE ONDE, GAENAK RASANYAAAAA",neutral,produk;,SUBJECTIVE," ONDE ONDE, GAENAK RASANYAAAAA","(ONDE ONDE, GAENAK RASANYAAAAA, negative, produk)","(onde onde, gaenak rasanyaaaaa, negative)",4
"@ohmybeautybank Batiste! Apalagi yg varian cherry, wanginya enak, residunya dikit tahan lama juga 👌🏼 harganya emang agak mahal tapi worth it kok, mereka sering ada bundle produk di shopee mall batiste.",positive,produk;,SUBJECTIVE," Batiste! Apalagi yg varian cherry, wanginya enak, residunya dikit tahan lama juga harganya emang agak mahal tapi worth it kok, mereka sering ada bundle produk di shopee mall batiste.","(shopee mall, sering ada bundle, posiitive, produk)","(shopee mall, sering ada bundle, posiitive)",29
"@inong911 Aku dulu beli 16 juta , dari 2015 di garasi rumah ibuku ga pernah dipakai lagi.  Punya mobil lain yg mudaan sih  Tapi liat di olx harga masih bagus 20-35 juta jadi semangat ngebangun lagi wkkk",positive,produk;,SUBJECTIVE," Aku dulu beli juta , dari di garasi rumah ibuku ga pernah dipakai lagi. Punya mobil lain yg mudaan sih Tapi liat di olx harga masih bagus -35 juta jadi semangat ngebangun lagi wkkk","(garasi rumah,  beli ga pernah dipakai, positive, produk); (mobil mudaan, masih bagus, positive, produk)","(garasi rumah, beli ga pernah dipakai, positive);(mobil mudaan, masih bagus, positive)",34
paket shopee ku blm nyampe jugaa,negative,produk;,SUBJECTIVE,paket shopee ku blm nyampe jugaa,"(paket shopee, blm nyampe jugaa, negative, delivery)","(paket shopee, blm nyampe jugaa, negative)",6
"@JNECare halo kemarin saya atur pickup paket dari Shopee dan jadwalnya diambil siang tadi, tapi sampai sekarang belum ada kurir yang datang.",negative,produk;,SUBJECTIVE," halo kemarin saya atur pickup paket dari Shopee dan jadwalnya diambil siang tadi, tapi sampai sekarang belum ada kurir yang datang.","(Shopee, sampai sekarang belum ada kurir yang dateng, negative, delivery)","(shopee, sampai sekarang belum ada kurir yang dateng, negative)",21
@_pearpeach ANJR KO ADA DI SHOPEE,negative,produk;,SUBJECTIVE, ANJR KO ADA DI SHOPEE,"(_, anjir kok ada, negative, produk)","(_, anjir kok ada, negative)",5
"@eajpark_ian @jntexpressid ehh mau Update, Paket gue blm ad kabar, kemrin cek disitus @jntexpressid  msh transit, tb2 pagi ngecek di Shopee sm stus j&amp;t lg masa statusnya sedang dikembalikan. Apa2an coba, dah 2 kali gue begini, akhir tahun llu gtu jg, katanya 3 hr dismpan, h3 dcek sdh dkembalikn. waah emosi",negative,delivery; produk;,SUBJECTIVE," ehh mau Update, Paket gue blm ad kabar, kemrin cek disitus msh transit, tb2 pagi ngecek di Shopee sm stus j&amp;t lg masa statusnya sedang dikembalikan. Apa2an coba, dah kali gue begini, akhir tahun llu gtu jg, katanya hr dismpan, h3 dcek sdh dkembalikn. waah emosi","(Shopee, Paket gue blm ad kabar, negative, produk)","(shopee, paket gue blm ad kabar, negative)",46
"@7euphoria_ @ohmybeautybank mjb kaa, harga laneige tg ori tu brp yaa?? soalnya aku liat di shopee kok murah bgtt mau beli ragu ga ori",neutral,produk;,SUBJECTIVE," mjb kaa, harga laneige tg ori tu brp yaa?? soalnya aku liat di shopee kok murah bgtt mau beli ragu ga ori","(shopee, murah bgtt mau beli ragu ga ori, negative, produk)","(shopee, murah bgtt mau beli ragu ga ori, negative)",22
@narkosun @DivHumas_Polri Saya sih nunggu video dia pake baju shopee sama minta maaf minta maaf,positive,produk;,SUBJECTIVE, Saya sih nunggu video dia pake baju shopee sama minta maaf minta maaf,"(_, nunggu minta maaf, negative, costumerservice)","(_, nunggu minta maaf, negative)",13
"makin galau mending upgrade RAM atau ganti hp gue yg usianya 5 tahun ini yg sudah lemot luar biasa karena nge-load shopee bisa sampe setengah menit terus juga layarnya udh suka gerak"" sendiri",negative,produk;,SUBJECTIVE,"makin galau mending upgrade RAM atau ganti hp gue yg usianya tahun ini yg sudah lemot luar biasa karena nge-load shopee bisa sampe setengah menit terus juga layarnya udh suka gerak"" sendiri","(shopee, sudah lemot luar biasa karena nge-load shopee sampe setengah menit, negative, website&apps)","(shopee, sudah lemot luar biasa karena nge-load shopee sampe setengah menit, negative)",32
"@bliblidotcom Nastar, lama' jdi enek mknnya",neutral,produk;,SUBJECTIVE," Nastar, lama' jdi enek mknnya","(Nastar, lama' jdi enek mknnya, negative, produk)","(nastar, ""lama jdi enek mknnya"", negative)",5
"min, kl shopee lgi dibatasi, saldo penjualnya bakal tetep cair ga si? soalnya ini buyerku udh ada yg klik pesanann dri jam 3, tp saldo penjualnya masi 0😔apa emg lagi eror ya? @ShopeeID @ShopeeCare BU bgt ini buat bayar payletter min😭",negative,produk;,SUBJECTIVE,"min, kl shopee lgi dibatasi, saldo penjualnya bakal tetep cair ga si? soalnya ini buyerku udh ada yg klik pesanann dri jam , tp saldo penjualnya masi apa emg lagi eror ya? BU bgt ini buat bayar payletter min","(shopee, masi apa emg lagi eror,negative, website&apps)","(shopee, masi apa emg lagi eror, negative)",39
"@indomilkyourway @alfamart @alfamidi_ku @Indomaret @bliblidotcom Baru voba yg black latte, enak rasanya dannn rasany familiar sama minuman kemasan p*p 🧊 rasa capucino.. tapi yang indomilk lebih kerasa kopinya engga cuman manis doang",positive,produk;,SUBJECTIVE," Baru voba yg black latte, enak rasanya dannn rasany familiar sama minuman kemasan p*p rasa capucino.. tapi yang indomilk lebih kerasa kopinya engga cuman manis doang","(black latte, enak rasanya, positive, produk)","(black latte, enak rasanya, positive)",26
