aoriginal_id,content,final_sentiment,baseline_aspect_category,tweet_type,clean_tweet,quadruplet,corrected_quadruplet,postprocess_quad
1.6458111206310543e+18,ni orng aneh kdng ak jual di olx,neutral,produk;,SUBJECTIVE,ni orng aneh kdng ak jual di olx,"(olx, aneh kdgn, negative, website&apps);","(orng, aneh, negative, produk)","(orng,aneh,negative,produk)"
1.6457728217533683e+18,"Biasain kalo beli barang second di olx tuh baca deskripsi. Kalo ga yakin, ya chat minta foto barang sampe detail. Jadi pas ngajak cod, tinggal nego aja.",negative,produk;,SUBJECTIVE,"biasain kalo beli barang second di olx tuh baca deskripsi. kalo ga yakin, ya chat minta foto barang sampe detail. jadi pas ngajak cod, tinggal nego aja.","(beli, barang second, positif, produk); (ngajak cod, tinggal nego, positif, produk);","(barang second, baca deskripsi, neutral, produk);(ga yakin, chat minta foto, neutral, produk)","(barang second,baca deskripsi,neutral,produk);(ga yakin,chat minta foto,neutral,produk)"
1.6454668253068247e+18,Penjual elektronik di olx terutama komputer itu mereka lebih temperament daripada penjual mobil,neutral,website&apps; produk;,SUBJECTIVE,penjual elektronik di olx terutama komputer itu mereka lebih temperament daripada penjual mobil,"(penjual elektronik, lebih temperament, negatif, produk);","(penjual elektronik, lebih temperament, negatif, produk);","(penjual elektronik,lebih temperament,negative,produk)"
1.6454393387786076e+18,"@Nickodiazk @txtasamlambung @sbyfess kalo cuma cek cek harga biasanya di online banyak bang di fb, olx, dll tapi kalo via online mau deal hati hati bang, soalnya banyak (banget) modus penipuan soalnya. Salah satu modusnya ada di link ini bang https://t.co/w8r1MsCL1I",neutral,price; produk;,SUBJECTIVE,"kalo cuma cek cek harga biasanya di online banyak bang di fb, olx, dll tapi kalo via online mau deal hati hati bang, soalnya banyak (banget) modus penipuan soalnya. salah satu modusnya ada di link ini bang","(cek harga, banyak di fb, positive, produk); (hati hati, modus penipuan, negative, produk);","(via online, hati hati bang, negative, produk);(via online, banyak modus penipuan, negative, produk)","(via online,hati hati bang,negative,produk);(via online,banyak modus penipuan,negative,produk)"
1.644463094356402e+18,@bogorfess_ Aku waktu kerja di bekasi dapet dari olx nder heheh cari aja di mamikos atau olx dia trusted kok,neutral,produk;,SUBJECTIVE,aku waktu kerja di bekasi dapet dari olx nder heheh cari aja di mamikos atau olx dia trusted kok,"(dapet, dari olx, positive, produk); (olx, dia trusted, positive, produk);","(mamikos, trusted, positive, website&apps);(olx, trusted, positive, website&apps)","(mamikos,trusted,positive,website&apps);(olx,trusted,positive,website&apps)"
1.644373793119572e+18,Halu bgt wishlistnya dari shopee sampe mobil di olx.,negative,delivery; produk;,SUBJECTIVE,halu bgt wishlistnya dari shopee sampe mobil di olx.,"(wishlistnya, shopee, positive, produk);","(wishlistnya, Halu bgt, positive, produk)","(wishlistnya,halu bgt,positive,produk)"
1.6443568340678943e+18,Sangat2 kecewa dengan #tokopedia...  Spread for awareness of customer rights #ecommerce #olx #blibli #ShopeeID #Lazadaid,negative,produk;,SUBJECTIVE,sangat2 kecewa dengan ... spread for awareness of customer rights,"(_, sangat2 kecewa, negative, produk); (customer rights, spread, negative, produk);","(_, sangat2 kecewa, negative, produk); (customer rights, spread, positive, produk);","(_,sangat2 kecewa,negative,produk);(customer rights,spread,positive,produk)"
1.6439769644774564e+18,"Trus waktu kantorku hampir pindah di daerah kapuk, pasti kan nyari kosan/ kontrakan, selain mamikos, olx, aku juga nyari2 tempat tinggal yg nyaman lewat fesbuk juga 😁",neutral,produk;,SUBJECTIVE,"trus waktu kantorku hampir pindah di daerah kapuk, pasti kan nyari kosan/ kontrakan, selain mamikos, olx, aku juga nyari2 tempat tinggal yg nyaman lewat fesbuk juga","(mamikos, nyari kosan/kontrakan, olx, produk); (fesbuk, nyari tempat tinggal yang nyaman, positive, produk);","(kantorku, hampir pindah, negative, produk);(mamikos, nyari kosan/ kontrakan, neutral, website&apps);(olx, nyari kosan/ kontrakan, neutral, website&apps);(fesbuk, nyari2 tempat tinggal yang nyaman, positive, produk)","(kantorku,hampir pindah,negative,produk);(mamikos,nyari kosan kontrakan,neutral,website&apps);(olx,nyari kosan kontrakan,neutral,website&apps);(fesbuk,nyari2 tempat tinggal kan nyaman,positive,produk)"
1.6433829589954273e+18,"@inong911 Aku dulu beli 16 juta , dari 2015 di garasi rumah ibuku ga pernah dipakai lagi.  Punya mobil lain yg mudaan sih  Tapi liat di olx harga masih bagus 20-35 juta jadi semangat ngebangun lagi wkkk",positive,produk;,SUBJECTIVE,"aku dulu beli juta , dari di garasi rumah ibuku ga pernah dipakai lagi. punya mobil lain yg mudaan sih tapi liat di olx harga masih bagus -35 juta jadi semangat ngebangun lagi wkkk","(garasi rumah,  beli ga pernah dipakai, positive, produk); (mobil mudaan, masih bagus, positive, produk);","(garasi rumah, ga pernah dipakai lagi,negative, produk);(mobil lain, mudaan, positive, produk);(mobil lain, harga masih bagus, positive, price)","(garasi rumah,ga pernah dipakai lagi,negative,produk);(mobil lain,mudaan,positive,produk);(mobil lain,harga masih bagus,positive,price)"
1.64331948060774e+18,"gue liat-liat honda city hb, banyak yg jual di olx. hmm andai bagasi nya ga bunyi kretek-kretek😒",neutral,produk;,SUBJECTIVE,"gue liat-liat honda city hb, banyak yg jual di olx. hmm andai bagasi nya ga bunyi kretek-kretek","(honda city, banyak yg jual, olx, positive, produk); ","(honda city, banyak yg jual, positive, produk);(bagasi, ga bunyi kretek-kretek, negative, produk)","(honda city,banyak yg jual,positive,produk);(bagasi,ga bunyi kretekkretek,negative,produk)"
1.6430068155659305e+18,"@tanyakanrl jual aje di olx ribet amat lu, olx upload barangnya perasaan gampang",negative,delivery; customerservice; produk;,SUBJECTIVE,"jual aje di olx ribet amat lu, olx upload barangnya perasaan gampang","(jual, olx, positive, produk); (olx, upload barangnya, gampang, positive, website&apps);","(jual aje, ribet amat lu, negative, produk);(olx, upload barangnya perasaan gampang, positive, website&apps)","(jual aje,ribet amat lu,negative,produk);(olx,upload barangnya perasaan gampang,positive,website&apps)"
1.6429269987577075e+18,"Lalu dia langsung telfon ke anugrah mengenai pembayaran, dan akhirnya yang katanya adiknya ternyata bukan adiknya beneran dan dia baru kenal anugrah dari olx lalu baru me yampaikan ke saya, dannnnnnnnn bomm uang saya lenyap, dia bilang ""adung anj*g gblk banget kita"" ke istrinya",negative,customerservice; payment; produk;,SUBJECTIVE,"lalu dia langsung telfon ke anugrah mengenai pembayaran, dan akhirnya yang katanya adiknya ternyata bukan adiknya beneran dan dia baru kenal anugrah dari olx lalu baru me yampaikan ke saya, dannnnnnnnn bomm uang saya lenyap, dia bilang ""adung anj*g gblk banget kita"" ke istrinya","(uang, lenyap, negative, customerservice);","(uang saya, lenyap, negative, produk)","(uang saya,lenyap,negative,produk)"
1.6428834244436623e+18,rulita brisik banget deh motornya gw iklanin besok di olx 90 angkut rugi rrugi deh lo,negative,produk;,SUBJECTIVE,rulita brisik banget deh motornya gw iklanin besok di olx angkut rugi rrugi deh lo,"(rulita, brisik banget, negative, produk);","(rulita, brisik banget, negative, produk);(motornya, rrugi deh lo, negative, price)","(rulita,brisik banget,negative,produk);(motornya,rrugi deh lo,negative,price)"
1.6428169758513807e+18,"1. Cepat dan Mudah Kejual  Di bulan ini, permintaan mobil biasanya lagi naik nih. Jadi kalau jual di OLX Autos yang pasti cepat dan mudah, fix bakal makin-makin cepat kejual. Juga ngga ribet karena bisa jual mobil dari rumah dan pasti kita bantu urusin.",positive,produk;,SUBJECTIVE,". cepat dan mudah kejual di bulan ini, permintaan mobil biasanya lagi naik nih. jadi kalau jual di olx autos yang pasti cepat dan mudah, fix bakal makin-makin cepat kejual. juga ngga ribet karena bisa jual mobil dari rumah dan pasti kita bantu urusin.","(cepat terjual, permintaan mobil, lagi naik, positive, produk); (fix, makin-makin cepet kejual, positive, produk)","(bulan ini, Cepat Kejual, positive, produk);(bulan ini, Mudah Kejual, positive, produk);(OLX Autos, pasti cepat, positive, website&apps);(OLX Autos, mudah, positive, website&apps);(OLX Autos, makin-makin cepat kejual, positive, website&apps);(OLX Autos, ngga ribet, positive, website&apps)","(bulan ini,cepat kejual,positive,produk);(bulan ini,mudah kejual,positive,produk);(olx autos,pasti cepat,positive,website&apps);(olx autos,mudah,positive,website&apps);(olx autos,makinmakin cepat kejual,positive,website&apps);(olx autos,ngga ribet,positive,website&apps)"
1.64280679411132e+18,"jual laptop di olx ga sampe 1 hari 10 orang lebih ngechat, jual komputer di olx  dah 2 hari gak ada yang interest ,nyoba jual di fb ga sampe 3 jam 3 orang chat",neutral,customerservice; produk;,SUBJECTIVE,"jual laptop di olx ga sampe hari orang lebih ngechat, jual komputer di olx dah hari gak ada yang interest ,nyoba jual di fb ga sampe jam orang chat","(jual laptop, olx, orang lebih ngechat, positive, produk) (jual komputer, olx, gak ada yang intrest, negative, produk)","(jual laptop, orang lebih ngechat, positive, produk);(jual komputer, gak ada yang interest, negative, produk);(fb, ga sampe jam, positive, produk)","(jual laptop,orang lebih ngechat,positive,produk);(jual komputer,gak ada yang interest,negative,produk);(fb,ga sampe jam,positive,produk)"
1.6427911794347295e+18,@tanyakanrl coba cari di olx nder. disitu banyak loker buat yang ga punya skill khusus atau pengalaman. soalnya dulu aku cari karyawan juga disana masang iklannya.,neutral,produk;,SUBJECTIVE,coba cari di olx nder. disitu banyak loker buat yang ga punya skill khusus atau pengalaman. soalnya dulu aku cari karyawan juga disana masang iklannya.,"(olx, banyak loker, positive, website&apps) (banyak loker, ga punya skill khusus atau pengalaman, positive, website&apps)","(olx, banyak loker, positive, website&apps);(loker, ga punya skill khusus, positive, produk);(loker, ga punya pengalaman, positive, produk)","(olx,banyak loker,positive,website&apps);(loker,ga punya skill khusus,positive,produk);(loker,ga punya pengalaman,positive,produk)"
1.6427608699302052e+18,"Pertama kali tau toko online tuh tokobagus, trus ganti jadi olx, sampe sekarang masih pake olx 💪🏻",positive,produk;,SUBJECTIVE,"pertama kali tau toko online tuh tokobagus, trus ganti jadi olx, sampe sekarang masih pake olx","(tokobagus, pertama kali tau toko online, positive, website&apps); (olx, sampai sekarang masih pake , positive, website&apps)","(tokobagus, pertama kali tau, positive, website&apps); (olx, sampe sekarang masih pake , positive, website&apps)","(tokobagus,pertama kali tau,positive,website&apps);(olx,sampe sekarang masih pake,positive,website&apps)"
1.642750614231982e+18,@beautydyah Bisa kok hanya saja yang lebih direkomendasikan atau mungkin yang keluar lebih dulu yang centang biru mungkin hampir sama kayak iklan OLX iklan yang berbayar ada nya paling atas yang gak dia tenggelam,positive,delivery; website&apps; payment; produk;,SUBJECTIVE,bisa kok hanya saja yang lebih direkomendasikan atau mungkin yang keluar lebih dulu yang centang biru mungkin hampir sama kayak iklan olx iklan yang berbayar ada nya paling atas yang gak dia tenggelam,"(lebih direkomendasikan, keluar, centang biru, website&apps)","(centang biru, yang lebih direkomendasikan, positive, website&apps);(centang biru, keluar lebih dulu, positive, website&apps);(iklan OLX, berbayar ada nya paling atas, positive, website&apps);(iklan OLX, yang gak dia tenggelam, negative, website&apps)","(centang biru,yang lebih direkomendasikan,positive,website&apps);(centang biru,keluar lebih dulu,positive,website&apps);(iklan olx,berbayar ada nya paling atas,positive,website&apps);(iklan olx,yang gak dia tenggelam,negative,website&apps)"
1.6427112326618235e+18,"Btw ga cantumin foto soalnya bukan punyaku, jdi ak gaenak udh tanya2 ke penjual ini dan beliau pun semangat ngajak cod-an, tp aku udh dpt penjual lain yg cocok (cod-an lebih deket).  Makanya dm aja ya,  nanti diksh link olx nya. Serius ga nipu ko lg bulan puasa😭",negative,produk;,SUBJECTIVE,"btw ga cantumin foto soalnya bukan punyaku, jdi ak gaenak udh tanya2 ke penjual ini dan beliau pun semangat ngajak cod-an, tp aku udh dpt penjual lain yg cocok (cod-an lebih deket). makanya dm aja ya, nanti diksh link olx nya. serius ga nipu ko lg bulan puasa","(penjual, ngajak cod-an, positive, produk) ","(penjual, semangat nagajak cod-an, positive, produk);(penjual lain, yg cocok, positive, produk)","(penjual,semangat ngajak codan,positive,produk);(penjual lain,yg cocok,positive,produk)"
1.6427071851794473e+18,"@babyjxxxoxo Wkwk lebay sih kl email, kecuali nomor wasaf yaa. Aku pernah pasang iklan di olx trs nomornya lupa di hide, beuh ga aturan itu org2 telfon sama spam wa malem2.",neutral,produk;,SUBJECTIVE,"wkwk lebay sih kl email, kecuali nomor wasaf yaa. aku pernah pasang iklan di olx trs nomornya lupa di hide, beuh ga aturan itu org2 telfon sama spam wa malem2.","(pasang iklan, nomornya lupa hide, negative, website&apps)","(email, lebay, negative, produk);(nomornya , lupa di hide, negative, produk);(org2, spam wa, negative, produk)","(email,lebay,negative,produk);(nomornya,lupa di hide,negative,produk);(org2,spam wa,negative,produk)"
1.6425962923325194e+18,"@SeputarTetangga Buat referensi coba liat2 aja harga rumah di olx nder, biasanya yg murah2 di jaksel tuh diluar daerah kalibata, tebet, kemang, setia budi. Selebihnya oke. Apalagi kalo ke daerah tj barat sampe ke ragunan, itu murah2. Kontrakan aja disana murah2 bgt.",neutral,price; produk;,SUBJECTIVE,"buat referensi coba liat2 aja harga rumah di olx nder, biasanya yg murah2 di jaksel tuh diluar daerah kalibata, tebet, kemang, setia budi. selebihnya oke. apalagi kalo ke daerah tj barat sampe ke ragunan, itu murah2. kontrakan aja disana murah2 bgt.","(harga rumah, murah2, positive, produk); (kontrakan, disana murah, positive, produk)","(harga rumah, murah2, positive, produk); (kontrakan, murah2 bgt, positive, produk)","(harga rumah,murah2,positive,produk);(kontrakan,murah2 bgt,positive,produk)"
1.6425698136997233e+18,@lailatucuddle Aku pumya sepatu adidas gak pake. Yauda iseng post olx,neutral,produk;,SUBJECTIVE,aku pumya sepatu adidas gak pake. yauda iseng post olx,"(sepatu adidas, iseng post olx, positive, produk)","(sepatu adidas, iseng post olx, neutral, produk)","(sepatu adidas,iseng post olx,neutral,produk)"
1.6424952912734085e+18,"@joglofess Fb atau olx nder hehe mending selli kalo buat dikota, ntar upgrade kalem2 😁👍",neutral,customerservice; produk;,SUBJECTIVE,"fb atau olx nder hehe mending selli kalo buat dikota, ntar upgrade kalem2","(fb atau olx, upgrade kalem2, positive, produk)","(Fb, mending selli, positive, website&apps);(olx, mending selli, positive, website&apps)","(fb,mending selli,positive,website&apps);(olx,mending selli,positive,website&apps)"
1.6422898286027448e+18,RT @aerorun: Penipuan transaksi segitiga begini marak banget apalagi buat yg jual/beli via olx/fesbuk dan semacamnya. Ada teman kena 100jt.…,neutral,customerservice; price; produk;,SUBJECTIVE,: penipuan transaksi segitiga begini marak banget apalagi buat yg jual/beli via olx/fesbuk dan semacamnya. ada teman kena jt.,"(transaksi segitiga, marak banget, negative, produk)","(transaksi segitiga, marak banget, negative, produk)","(transaksi segitiga,marak banget,negative,produk)"
1.6422067984669327e+18,@inyeuw Paling olx sih teh. Fb juga bisa sih cuman kaya kurang terpercaya,neutral,produk;,SUBJECTIVE,paling olx sih teh. fb juga bisa sih cuman kaya kurang terpercaya,"(fb, kurang terpercaya, negative, website&apps)","(fb, kurang terpercaya, negative, website&apps)","(fb,kurang terpercaya,negative,website&apps)"
1.6422025937484718e+18,@FWBESS Gue nemu yg kek gini di daerah gue malah di olx nder wkwk,neutral,produk;,SUBJECTIVE,gue nemu yg kek gini di daerah gue malah di olx nder wkwk,"(nemu kek gini, di olx, neutral, website&apps)","(olx, nemu yg kek gini, negative, website&apps)","(olx,nemu yg kek gini,negative,website&apps)"
1.6421751396925645e+18,Olx lagi kenapa ya? 😕 Kok gak ditampilkan berapa viewersnya. Malam minggu kerja lagi guys 🔥🔥🔥,positive,produk;,SUBJECTIVE,olx lagi kenapa ya? kok gak ditampilkan berapa viewersnya. malam minggu kerja lagi guys,"(olx, gak ditampilkan berapa viewers, negative, website&apps)","(olx, gak ditampilkan berapa viewersnya, negative, website&apps)","(olx,gak ditampilkan berapa viewersnya,negative,website&apps)"
1.6421259400117248e+18,"OLX nih emang bener-bener ajib banget ya. Kalau bisa nyari yg oke, bisa dapet bagus dan harganya ok 👌🏻",positive,produk;,SUBJECTIVE,"olx nih emang bener-bener ajib banget ya. kalau bisa nyari yg oke, bisa dapet bagus dan harganya ok","(olx, bener-bener ajib, positive, website&apps); (_, harganya ok, positive, produk)","(olx, bener-bener ajib, positive, website&apps);(_, dapet bagus, positive, produk);(harganya , ok, positive, price)","(olx,benerbener ajib,positive,website&apps);(_,dapet bagus,positive,produk);(harganya,ok,positive,price)"
1.6418831490588344e+18,"@Dziennuen Iya, memang nggak semuanya Bang. Di Kota Padang sendiri banyak yang jual di OLX.  Waktu itu nyari tanahnya di Mandeh yang rata2 tanahnya masih girik. Denger2 dari broker daerah situ, yang di rural masih keras, cuma mau ngelepas ke orang Minang.",neutral,price; produk;,SUBJECTIVE,"iya, memang nggak semuanya bang. di kota padang sendiri banyak yang jual di olx. waktu itu nyari tanahnya di mandeh yang rata2 tanahnya masih girik. denger2 dari broker daerah situ, yang di rural masih keras, cuma mau ngelepas ke orang minang.","(_, banyak yang jual di olx, positive, produk)","(OLX, banyak yang jual, positive, website&apps);(rural, masih keras, negative, produk)","(olx,banyak yang jual,positive,website&apps);(rural,masih keras,negative,produk)"
1.64180995385711e+18,@JustTalkID Laku dr olx...jd di kontek ktemu langsung ...mau dibuat bawa mudik kwkw  Coba aja di olx banyak juga sih bro yang nawarin...tp ati2 banyak bener penipuan,positive,produk;,SUBJECTIVE,laku dr olx...jd di kontek ktemu langsung ...mau dibuat bawa mudik kwkw coba aja di olx banyak juga sih bro yang nawarin...tp ati2 banyak bener penipuan,"(_, banyak juga sih bro yang nawarin, positive, produk)","(olx, Laku, positive, produk);(olx, banyak juga, positive, produk)","(olx,laku,positive,produk);(olx,banyak juga,positive,produk)"
1.641745166112555e+18,"@Askrlfess Saya pernah ketipu beli hp ini di tokobagus (sekarang olx). Karena posisi hp nya diluar kota jd dikirim via kurir. Uang di transfer, eh hp tak kunjung datang ):",neutral,produk;,SUBJECTIVE,"saya pernah ketipu beli hp ini di tokobagus (sekarang olx). karena posisi hp nya diluar kota jd dikirim via kurir. uang di transfer, eh hp tak kunjung datang ):","(hp, pernah ketipu beli, negative, produk)","(tokobagus, pernah ketipu, negative, produk);(hp, tak kunjung datang, negative, produk)","(tokobagus,pernah ketipu,negative,produk);(hp,tak kunjung datang,negative,produk)"
1.641629151840043e+18,@tanyakanrl Di olx sama fb suka ada nder,neutral,produk;,SUBJECTIVE,di olx sama fb suka ada nder,"(_, di olx sama fb suka ada, positive, produk)","(olx, suka ada, positive, produk);(fb, suka ada, positive, produk)","(olx,suka ada,positive,produk);(fb,suka ada,positive,produk)"
1.6412910309255496e+18,"@dailyshinta @Heraloebss @beacukaiRI @KemenkeuRI @prastow @jokowi Sudah beberapa kali, bahkan saya jual rumah di OLX pun yg tlp penipu😭",negative,produk;,SUBJECTIVE,"sudah beberapa kali, bahkan saya jual rumah di olx pun yg tlp penipu","(rumah, yg tlp penipu, negative, produk)","(jual rumah, yg tlp penipu, negative, produk)","(jual rumah,yg tlp penipu,negative,produk)"
1.641041777846268e+18,"Rumah 970 Juta di Cakung, lengkap dan bagus banget, dibawah NJOP  https://t.co/bDnQdyb4kF",positive,payment; price; produk;,SUBJECTIVE,"rumah juta di cakung, lengkap dan bagus banget, dibawah njop","rumah, lengkap dan bagus banget, positive, produk)","(rumah, lengkap, positive, produk);(rumah, bagus banget, positive, produk)","(rumah,lengkap,positive,produk);(rumah,bagus banget,positive,produk)"
1.6409672145590108e+18,"@sarampallipalli udah say, naro di olx juga, emang belum jodoh kali ya jadi belum laku, doain cepet laku yaa:))",positive,produk;,SUBJECTIVE,"udah say, naro di olx juga, emang belum jodoh kali ya jadi belum laku, doain cepet laku yaa","(_, belum laku, negative, produk)","(_, belom jodoh, negative, produk);(_,belum laku, negative, produk);(doain, cepet laku, positive, produk)","(_,belum jodoh,negative,produk);(_,belum laku,negative,produk);(doain,cepet laku,positive,produk)"
1.6409426115896563e+18,Kronologi singkat : Aku jual motor di olx. Dia langsung hubungi kita dengan deal harga 15jt. Dia bilang kl dia akan bayar 15jt langsung krn dia mau jual lg ke pihak ketiga dengan cara kredit. Jd dia ambil untung dari pihak ketiga dengan cara kredit….,neutral,payment; produk;,SUBJECTIVE,kronologi singkat : aku jual motor di olx. dia langsung hubungi kita dengan deal harga jt. dia bilang kl dia akan bayar jt langsung krn dia mau jual lg ke pihak ketiga dengan cara kredit. jd dia ambil untung dari pihak ketiga dengan cara kredit.,"(motor, ambil untung, positive, produk)","(motor, ambil untung, positive, produk)","(motor,ambil untung,positive,produk)"
1.6407755294261903e+18,seru juga liat liat olx walau gak beli 🤭,neutral,produk;,SUBJECTIVE,seru juga liat liat olx walau gak beli,"(olx, seru juga, positive, website&apps)","(olx, seru juga, positive, website&apps)","(olx,seru juga,positive,website&apps)"
